well_id,datetime,head_m
PW_115,2024-09-17T12:00:00Z,533.9399999999999
PW_115,2024-09-17T12:15:00Z,534.1672
PW_115,2024-09-17T12:30:00Z,534.2366
PW_115,2024-09-17T12:45:00Z,534.359
PW_115,2024-09-17T13:00:00Z,534.3634
PW_115,2024-09-17T13:15:00Z,534.3419
PW_115,2024-09-17T13:30:00Z,534.429
PW_115,2024-09-17T13:45:00Z,534.4265
PW_115,2024-09-17T14:00:00Z,534.3737
PW_115,2024-09-17T14:15:00Z,534.4172
PW_115,2024-09-17T14:30:00Z,534.3466
PW_115,2024-09-17T14:45:00Z,534.4978
PW_115,2024-09-17T15:00:00Z,534.4612
PW_115,2024-09-17T15:15:00Z,534.5353
PW_115,2024-09-17T15:30:00Z,534.5083999999999
PW_115,2024-09-17T15:45:00Z,534.5056
PW_115,2024-09-17T16:00:00Z,534.4783
PW_115,2024-09-17T16:15:00Z,534.3925
PW_115,2024-09-17T16:30:00Z,534.4514
PW_115,2024-09-17T16:45:00Z,534.2171
PW_115,2024-09-17T17:00:00Z,534.3928999999999
PW_115,2024-09-17T17:15:00Z,534.4551
PW_115,2024-09-17T17:30:00Z,534.4863
PW_115,2024-09-17T17:45:00Z,534.5142
PW_115,2024-09-17T18:00:00Z,534.4603
PW_115,2024-09-17T18:15:00Z,534.3126
PW_115,2024-09-17T18:30:00Z,534.4193
PW_115,2024-09-17T18:45:00Z,534.5264
PW_115,2024-09-17T19:00:00Z,534.5674
PW_115,2024-09-17T19:15:00Z,534.4562999999999
PW_115,2024-09-17T19:30:00Z,534.426
PW_115,2024-09-17T19:45:00Z,534.7246
PW_115,2024-09-17T20:00:00Z,534.7825
PW_115,2024-09-17T20:15:00Z,534.7588
PW_115,2024-09-17T20:30:00Z,534.7887
PW_115,2024-09-17T20:45:00Z,533.0928
PW_115,2024-09-17T21:00:00Z,533.0551
PW_115,2024-09-17T21:15:00Z,533.1242
PW_115,2024-09-17T21:30:00Z,533.12
PW_115,2024-09-17T21:45:00Z,533.1884
PW_115,2024-09-17T22:00:00Z,533.1363
PW_115,2024-09-17T22:15:00Z,533.2701
PW_115,2024-09-17T22:30:00Z,533.2929
PW_115,2024-09-17T22:45:00Z,533.3735
PW_115,2024-09-17T23:00:00Z,533.3602999999999
PW_115,2024-09-17T23:15:00Z,533.4150999999999
PW_115,2024-09-17T23:30:00Z,533.321
PW_115,2024-09-17T23:45:00Z,533.5246
PW_115,2024-09-18T00:00:00Z,533.5528
PW_115,2024-09-18T00:15:00Z,533.6562
PW_115,2024-09-18T00:30:00Z,533.7142
PW_115,2024-09-18T00:45:00Z,533.7347
PW_115,2024-09-18T01:00:00Z,533.8032
PW_115,2024-09-18T01:15:00Z,533.8306
PW_115,2024-09-18T01:30:00Z,533.8432
PW_115,2024-09-18T01:45:00Z,533.8914
PW_115,2024-09-18T02:00:00Z,533.8987999999999
PW_115,2024-09-18T02:15:00Z,533.9424
PW_115,2024-09-18T02:30:00Z,533.955
PW_115,2024-09-18T02:45:00Z,533.9901
PW_115,2024-09-18T03:00:00Z,533.9671
PW_115,2024-09-18T03:15:00Z,533.9784999999999
PW_115,2024-09-18T03:30:00Z,533.9704
PW_115,2024-09-18T03:45:00Z,534.0106
PW_115,2024-09-18T04:00:00Z,535.798
PW_115,2024-09-18T04:15:00Z,535.918
PW_115,2024-09-18T04:30:00Z,535.9843999999999
PW_115,2024-09-18T04:45:00Z,536.1169
PW_115,2024-09-18T05:00:00Z,536.1419
PW_115,2024-09-18T05:15:00Z,536.1384
PW_115,2024-09-18T05:30:00Z,535.9544999999999
PW_115,2024-09-18T05:45:00Z,535.9857
PW_115,2024-09-18T06:00:00Z,535.8502
PW_115,2024-09-18T06:15:00Z,535.5712
PW_115,2024-09-18T06:30:00Z,535.2148
PW_115,2024-09-18T06:45:00Z,535.0572999999999
PW_115,2024-09-18T07:00:00Z,535.1956
PW_115,2024-09-18T07:15:00Z,534.9005
PW_115,2024-09-18T07:30:00Z,534.7393
PW_115,2024-09-18T07:45:00Z,534.8149
PW_115,2024-09-18T08:00:00Z,534.6890999999999
PW_115,2024-09-18T08:15:00Z,534.6212
PW_115,2024-09-18T08:30:00Z,534.5396
PW_115,2024-09-18T08:45:00Z,534.346
PW_115,2024-09-18T09:00:00Z,534.2838
PW_115,2024-09-18T09:15:00Z,534.0942
PW_115,2024-09-18T09:30:00Z,534.1818
PW_115,2024-09-18T09:45:00Z,534.1208
PW_115,2024-09-18T10:00:00Z,534.2372
PW_115,2024-09-18T10:15:00Z,534.2076
PW_115,2024-09-18T10:30:00Z,534.1144
PW_115,2024-09-18T10:45:00Z,534.0952
PW_115,2024-09-18T11:00:00Z,534.2172
PW_115,2024-09-18T11:15:00Z,534.3217
PW_115,2024-09-18T11:30:00Z,534.2044
PW_115,2024-09-18T11:45:00Z,534.3399
PW_115,2024-09-18T12:00:00Z,534.2366
PW_115,2024-09-18T12:15:00Z,534.3516
PW_115,2024-09-18T12:30:00Z,534.3668
PW_115,2024-09-18T12:45:00Z,534.3552999999999
PW_115,2024-09-18T13:00:00Z,534.3173
PW_115,2024-09-18T13:15:00Z,534.5482
PW_115,2024-09-18T13:30:00Z,534.5485
PW_115,2024-09-18T13:45:00Z,534.5413
PW_115,2024-09-18T14:00:00Z,534.6745999999999
PW_115,2024-09-18T14:15:00Z,534.5583
PW_115,2024-09-18T14:30:00Z,534.5636
PW_115,2024-09-18T14:45:00Z,534.6928
PW_115,2024-09-18T15:00:00Z,534.712
PW_115,2024-09-18T15:15:00Z,534.701
PW_115,2024-09-18T15:30:00Z,534.4827
PW_115,2024-09-18T15:45:00Z,534.5853999999999
PW_115,2024-09-18T16:00:00Z,534.5527
PW_115,2024-09-18T16:15:00Z,534.6768
PW_115,2024-09-18T16:30:00Z,534.5788
PW_115,2024-09-18T16:45:00Z,534.5074
PW_115,2024-09-18T17:00:00Z,534.5056
PW_115,2024-09-18T17:15:00Z,534.2909
PW_115,2024-09-18T17:30:00Z,534.1955
PW_115,2024-09-18T17:45:00Z,534.4458
PW_115,2024-09-18T18:00:00Z,534.4633
PW_115,2024-09-18T18:15:00Z,534.5255
PW_115,2024-09-18T18:30:00Z,534.4889
PW_115,2024-09-18T18:45:00Z,534.4637
